title,agency,career_level,salary_range_from,salary_range_to
Assistant General Counsel,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),104097,104097
Assistant Commissioner- Runaway and Homeless Youth Services,DEPT OF YOUTH & COMM DEV SRVS,Executive,88936,223761
BACKGROUND INVESTIGATOR,NYC HOUSING AUTHORITY,Entry-Level,45113,64693
Energy Project Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Staff Analyst- Risk Management,LAW DEPARTMENT,Experienced (non-manager),62470,80008
Outreach Specialist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),59116,91768
PROJECT DIRECTOR/SENIOR BUSINESS ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,136951
Senior Research Analyst- Bureau of Chronic Disease Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),89612,103054
FMAC&R Customer Service Recreation Director,DEPT OF PARKS & RECREATION,Experienced (non-manager),41660,47909
FMAC&R Customer Service Recreation Director,DEPT OF PARKS & RECREATION,Experienced (non-manager),41660,47909
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53702,146121
Emergency Management Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),78128,118657
Research Scientist-  Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),35.1067,35.11
Assistant District Attorney Child Abuse/Sex Crimes Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),80440,167610
DIRECTOR- CAPITAL ACCESS,DEPARTMENT OF BUSINESS SERV.,Manager,64749,85000
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),74730,100067
Operations Associate,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Nutrition Advisor,DEPARTMENT FOR THE AGING,Experienced (non-manager),61990,71288
CHANGE ORDER ANALYST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),60010,100875
Admin Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
MACHINE OPERATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40300,63257
PeopleSoft Developer,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,120000
Senior Counsel,DEPT OF ENVIRONMENT PROTECTION,Manager,58700,161534
Assistant Civil Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,65640
Administrative Assistant for the Division of Division of Co-op Readiness & Technical Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Junior Landscape Designer  Architect,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),60554,69637
Portfolio Specialist,DEPT OF CITYWIDE ADMIN SVCS,Manager,95000,105000
Office Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),45428,68741
Stormwater Inspector,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65640,85646
Digital Transformation Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),78795,113300
Assistant Retirement Benefits Examiner,NYC EMPLOYEES RETIREMENT SYS,Entry-Level,45227,52011
Geospatial Software Engineer,DEPARTMENT OF SANITATION,Experienced (non-manager),100000,160000
Equal Employment Opportunity (EEO) Investigator,BRONX DISTRICT ATTORNEY,Experienced (non-manager),75000,75000
SERIOUS INCIDENT ANALYST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),62470,80008
Public Health Advisor I - Elementary Screening Team (Part-Time)- Bureau of School Health,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,21.41,27.62
Project Manager,NYC HOUSING AUTHORITY,Experienced (non-manager),59116,91768
Coordinator for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),60000,70000
Facility Fire Response Coordinator,DEPARTMENT OF CORRECTION,Manager,125000,135000
Project Manager / GIS Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,111003
Supervising Social Worker- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),66442,76408
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Discovery Specialist,DISTRICT ATTORNEY RICHMOND COU,Entry-Level,50000,55000
Director of Legislative and Intergovernmental Affairs,FIRE DEPARTMENT,Executive,94715,120000
President of the Trust (NYC Public Housing Preservation Trust),NYC HOUSING AUTHORITY,Executive,116506,252165
Administrative Assistant,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
Facilities Building Custodian - Part Time,LAW DEPARTMENT,Experienced (non-manager),17.42,19.6849
Public Health Advisor II- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Public Health Advisor II- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Administrative Assistant for the Division of Division of Co-op Readiness & Technical Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Supervising Epidemiologist,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,94761
DIRECTOR- RESEARCH & PROGRAM MONITORING,HRA/DEPT OF SOCIAL SERVICES,Manager,64922,110000
ASSET MANAGEMENT ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60010,100875
Lead Informatics Analyst- Bureau of Communicable Diseases,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),102666,111288
Community Planner,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
Corridor Planner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
City Park Worker,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,34716,39923
Procedural Justice Coordinator,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),62215,62215
Maintenance Worker,NYC HOUSING AUTHORITY,Experienced (non-manager),29.98,31.16
Budget Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),74710,100812
Assistant Corporation Counsel - Family Court Division - Bronx,LAW DEPARTMENT,Experienced (non-manager),75121,133040
Stationary Engineer,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),508.8,508.8
Associate Youth Development Specialist,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),63717,72670
Computer Aide,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,44404,65888
Associate Director  FEDERAL AND STATE GRANTS MONITORING,OFFICE OF MANAGEMENT & BUDGET,Executive,185886,185886
Data Scientist,DEPARTMENT OF SANITATION,Experienced (non-manager),75000,160000
Staff Nurse (Part-Time),DEPARTMENT OF CORRECTION,Experienced (non-manager),40.5862,40.5862
Harm Reduction Specialist-  Bureau of Alcohol and Drug Use- Prevention- Care- and Treatment,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,62215
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
OLR HEARING OFFICER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,161534
WTC CASE MANAGEMENT NURSE,FIRE DEPARTMENT,Experienced (non-manager),84744,84744
Assistant District Attorney -  Civil Litigation Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),100000,100000
ELU Agency Attorney,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),71423,82137
HR Liaison- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,62820
Help Desk Director,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),94715,103000
Certified IT Developer (Application),BRONX DISTRICT ATTORNEY,Experienced (non-manager),115000,115000
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
Senior Project Manager (Environmental),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),75504,86830
Supervisor Watershed Maintenance,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),63150,72623
Plumber,DEPARTMENT OF SANITATION,Experienced (non-manager),398.02,398.02
Energy Project Manager â Capital,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75504,86830
TECH SUPPORT/SCHEDULER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),80000,85000
Chief Operating Officer / First Deputy Commissioner,DEPT OF ENVIRONMENT PROTECTION,Manager,116506,243171
Claim Specialist- Level II- Property Damage,OFFICE OF THE COMPTROLLER,Experienced (non-manager),51079,58741
DIRECTOR OF COMMUNITY EDUCATION AND OUTREACH,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),64749,134280
Business Analyst â Product Owner,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),70611,105138
Manager of Design & Construction,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),90114,122168
Assistant Director- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60437,77435
Project Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),64140,70554
Lead Trainer and Curriculum Specialist- Chief Equity and Strategy Officer,DEPT OF HEALTH/MENTAL HYGIENE,Manager,84451,96000
Communications and External Affairs Manager- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
Senior Counsel,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Information Technology Assistant Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),78795,95000
Deputy Director- Sustainability Policy,DEPARTMENT OF BUILDINGS,Manager,64922,130000
DIRECTOR OF MARKETING AND DIGITAL COMMUNICATIONS,CAMPAIGN FINANCE BOARD,Manager,125000,145000
Stationary Engineer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),508.8,508.8
College Aide- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),15.5,19.9
DIRECTOR OF GOVERNMENT GRANTS,HRA/DEPT OF SOCIAL SERVICES,Manager,94283,122290
Assistant Counsel,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),79620,117541
PEOPLE OPERATIONS SPECIALIST - TALENT ACQUISITION,CAMPAIGN FINANCE BOARD,Experienced (non-manager),65000,75000
Revenue Analyst- Bureau of Budget and Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53797,65000
SENIOR PROJECT MANAGER- ADULT EDUCATION & TRAINING,NYC HOUSING AUTHORITY,Experienced (non-manager),60793,91234
Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),66042,102646
Senior Software Developer,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),100000,127000
IT Senior Developer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),0,71.15
PC BANK FACILITATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51715,51715
Senior Research Analyst- Bureau of Chronic Disease Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),89612,103054
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Assistant Process Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75504,94761
Operations Support - Director,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),150000,160000
Medical Advisor- Bureau of Chronic Disease Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),114636,122846
Early Intervention and Medicaid Administration Claiming Director- Bureau of Budget and Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),61206,89610
Customer Service Specialist,DEPARTMENT OF FINANCE,Experienced (non-manager),43728,50287
Vaccination Activities Coordinator- Bureau of Immunization,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,70087,70087
Geotechnical Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,77921
Crime Analyst- Level III,POLICE DEPARTMENT,Experienced (non-manager),80568,96682
FOIL Unit Assistant,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),40017,62820
SUPERVISOR- EMPLOYEE EXPENSE UNIT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Finance Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),58700,192152
Emergency Management Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),78128,118657
Data Content Analyst,BRONX DISTRICT ATTORNEY,Experienced (non-manager),59000,59000
Surveillance TechOps Manager,DEPARTMENT OF SANITATION,Manager,72038,192152
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
CARETAKER  P,NYC HOUSING AUTHORITY,Entry-Level,31836,46278
City Research Scientist 1,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70087,84805
Fire Safety Director,DEPARTMENT OF CORRECTION,Manager,125000,135000
CASEWORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),44009,50610
Child Care Associate- Bureau of Childcare,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),20.9814,27.37
ASSISTANT COMMISSIONER-EMPLOYMENT,HUMAN RIGHTS COMMISSION,Manager,125000,125000
Associate Water Use Inspector Level I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53345,75425
DATA AND RESEARCH COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75504,94761
Executive Director- JSA,ADMIN FOR CHILDREN'S SVCS,Manager,72038,192152
Civil Engineer 2,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),85463,118733
Executive Assistant to Chief of Laboratories,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53057,65000
CONFIDENTIAL INVESTIGATOR,NYC HOUSING AUTHORITY,Entry-Level,45113,64693
Wildlife Program Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Wildlife Program Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
DEPUTY DIRECTOR- HOUSING COURT UNIT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),73029,83983
Housing Inspector,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),53563,61598
ROVING TEAM MANAGER,DEPT. OF HOMELESS SERVICES,Manager,58700,192151
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
ASSISTANT DEPUTY COMMISSIONER- ACCOUNTABILITY STRATEGIES,HRA/DEPT OF SOCIAL SERVICES,Manager,94715,150000
ADMINISTRATIVE HOUSING MANAGER,NYC HOUSING AUTHORITY,Manager,72038,192152
ASSOCIATE LABOR RELATIONS ANALYST,NYC HOUSING AUTHORITY,Experienced (non-manager),76294,76294
SPECIAL ASSISTANT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,89699
Claims Specialist- Level II- Affirmative Claims,OFFICE OF THE COMPTROLLER,Experienced (non-manager),51079,58741
Executive Director of Program Operations,DEPARTMENT OF CORRECTION,Manager,72038,120000
Senior Windows Administrator - IT Division,LAW DEPARTMENT,Experienced (non-manager),92194,106023
RMAS Legal Coordinator,DEPARTMENT OF CORRECTION,Experienced (non-manager),47418,54531
Registration Clerk/Data Entry-  Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),32520,37398
Technical Support Supervisor for Systems and Analysis,DEPT OF PARKS & RECREATION,Experienced (non-manager),102982,102982
Technical Support Supervisor for Systems and Analysis,DEPT OF PARKS & RECREATION,Experienced (non-manager),102982,102982
Attorney- Litigation Unit (3 positions),OFFICE OF THE COMPTROLLER,Experienced (non-manager),85000,95000
Crystal Reports Architect,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),100000,105000
Trial Division- Major Case Assistant District Attorney,BRONX DISTRICT ATTORNEY,Experienced (non-manager),80440,167610
Civil Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80557,111917
Contracts & Grants Coordinator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60193,90704
Executive Assistant to the Comptroller,OFFICE OF THE COMPTROLLER,Manager,80000,90000
CONFIDENTIAL INVESTIGATOR,NYC HOUSING AUTHORITY,Entry-Level,45113,64693
Computer Specialist (Operations) - Network Services,LAW DEPARTMENT,Experienced (non-manager),106000,106000
Director of Customer Support - IT Division,LAW DEPARTMENT,Experienced (non-manager),130000,130000
Fleet Operations Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),61238,85409
Referral Consultant,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),64140,77609
Chief of Training,TAXI & LIMOUSINE COMMISSION,Manager,64922,118450
Engineering Auditor,NYC HOUSING AUTHORITY,Experienced (non-manager),75000,85646
Seasonal City Park Worker,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,18.1686,20.8937
CS Case Navigator- Bureau of Vital Statistics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,50000
Data Analyst,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),45113,60000
Department Librarian (Part-Time),LAW DEPARTMENT,Experienced (non-manager),23.9923,27.5911
Supervisor Watershed Maintenance,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),63150,79114
CASEWORKER,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),44009,50610
PARALEGAL - FAMILY COURT JD,LAW DEPARTMENT,Experienced (non-manager),43197,49677
HOUSING COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,62215
COMPUTER SERVICE TECHNICIAN,LAW DEPARTMENT,Entry-Level,24.3043,27.9502
Construction Safety & Quality Inspector,NYC HOUSING AUTHORITY,Experienced (non-manager),72063,122168
College Aide,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,16
Energy Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),53702,100000
GROUP PROCESSING WORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40062,46071
Assistant Deputy Chief of Facilities â Services,LAW DEPARTMENT,Experienced (non-manager),45811,51766
HOTEL OUTREACH SPECIALIST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),53057,61015
Electronic Laboratory Reporting Coordinator- Bureau of Division Management & Systems Coordination,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,64140,64140
Data Specialist,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),60193,90704
Air Permitting Associate,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,53057,77124
Executive Director of Finance- Bureau of Administration,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),105746,150000
Project Manager,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,65640,85646
Associate Commissioner Of Strategic Communications,FIRE DEPARTMENT,Executive,88936,213000
DISBURSEMENT ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Entry-Level,36390,58953
Peace Officer,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),34834,50207
Associate Project Manager III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
DIRECTOR,HRA/DEPT OF SOCIAL SERVICES,Manager,94283,108426
COMPUTER ASSOC (OPERATIONS),DEPARTMENT OF SANITATION,Experienced (non-manager),73358,112111
